lineage	S1_mutations
JN.1.48.3	55.
JN.1.4.9	53.
JN.1.49.1	53.
JN.1.5	51.
JN.1.55.2	54.
JN.1.58.1	52.
JN.1.60	51.
JN.1.64	50.
JN.1.64.1	52.
JN.1.67.1	52.
JN.1.7	52.
JN.1.7.4	54.
JN.1.8	51.
JN.18	48.
JN.1.8.1	52.
JN.19	50.
JN.2	50.5
JY.1	37.
JY.1.1	37.5
KH.1	41.5
KP.1.1	53.
KP.1.1.1	54.
KP.1.1.3	53.
KP.1.1.5	53.
KP.2	52.
KP.2.1	53.
KP.2.19	53.
KP.2.2	54.
KP.2.3	54.5
KP.2.3.7	53.
KP.2.5	54.
KP.2.7	50.
KP.3	53.
KP.3.1	52.
KP.3.1.1	54.
KP.3.1.4	53.
KP.3.2	53.
KP.3.2.3	53.
KP.3.3	53.5
KP.3.3.3	53.
KP.4.1.1	48.
KQ.1	53.
KR.1.1	53.
KS.1	54.
KS.1.1	55.5
KT.1	39.
KW.1.1	53.
L.3	3.
LA.1	53.
LB.1	55.
LB.1.2	54.
LB.1.2.1	55.
LB.1.3	55.
LB.1.5	54.5
LB.1.8	57.
LB.1.9	54.
LE.1.3.1	56.
LF.3.1	54.
LF.7	53.
LG.1	55.
LU.2	54.
LU.2.1.1	53.
LZ.2	55.
LZ.2.1	54.
MA.1	55.5
MB.1.1	54.
MB.1.1.1	49.
MC.13	55.
MC.3	55.
MD.1.1	53.
MV.1	53.
N.3	2.
N.4	2.
N.5	3.
P.1	10.
P.1.10	10.
P.1.14	11.
P.1.15	10.5
P.2	2.
Q.7	6.
Q.8	6.
R.1	3.
XAP	24.
XBB	35.
XBB.1	36.
XBB.1.16	37.
XBB.1.16.1	38.
XBB.1.16.10	38.
XBB.1.16.11	38.
XBB.1.16.17	38.
XBB.1.16.2	37.
XBB.1.16.24	41.
XBB.1.16.28	39.
XBB.1.16.6	37.5
XBB.1.17.1	37.
XBB.1.18.1	36.5
XBB.1.19	36.
XBB.1.19.1	36.5
XBB.1.22	36.
XBB.1.22.1	37.
XBB.1.28	36.
XBB.1.31.1	37.
XBB.1.34	36.
XBB.1.35	36.
XBB.1.41	38.
XBB.1.41.2	39.
XBB.1.42	37.
XBB.1.42.1	36.
XBB.1.42.2	37.
XBB.1.49	35.
XBB.1.5	36.
XBB.1.5.10	37.
XBB.1.5.109	35.
XBB.1.5.12	35.
XBB.1.5.13	36.5
XBB.1.5.14	37.
XBB.1.5.15	36.
XBB.1.5.20	37.
XBB.1.5.24	35.5
XBB.1.5.27	36.
XBB.1.5.28	38.
XBB.1.5.32	36.
XBB.1.5.35	36.
XBB.1.5.37	35.
XBB.1.5.38	37.
XBB.1.5.43	36.
XBB.1.5.46	36.
XBB.1.5.49	35.5
XBB.1.5.63	37.
XBB.1.5.70	37.
XBB.1.5.76	37.
XBB.1.5.78	36.
XBB.1.5.83	37.
XBB.1.5.86	36.
XBB.1.5.88	36.
XBB.1.5.98	37.
XBB.1.9	36.
XBB.1.9.1	36.
XBB.1.9.2	36.
XBB.1.9.3	36.
XBB.1.9.7	36.5
XBB.2	36.
XBB.2.3	37.
XBB.2.3.11	36.5
XBB.2.3.12	38.
XBB.2.3.13	37.
XBB.2.3.2	38.
XBB.2.3.20	38.
XBB.2.3.3	38.
XBB.2.3.5	38.
XBB.2.3.6	37.
XBB.2.3.8	37.
XBB.2.4	36.
XBB.2.5	37.
XBB.3	34.
XBB.3.2	36.
XBB.3.4	36.
XBB.9	35.
XBF.3	33.
XBF.6	34.
XCK	36.
XCT.1	38.
XDA	40.
XDB	36.
XDD	51.
XDE	39.
XDK.1	53.5
XDL	39.
XDQ	50.
XDQ.1	50.5
XDR	51.
XDR.1	53.
XDV.1	52.
XDV.1.1	54.
XDV.1.10	54.
XDV.1.3	53.
XDV.1.5	53.5
XDV.1.6	52.
XDV.1.7	52.
XDY	55.5
XEC	55.
XEJ	50.5
XV	25.
XZ	25.
